size,OMP-threads,time
10000,1,78.073403
10000,1,78.128480
10000,1,78.037020
10000,1,78.029149
10000,1,78.069133
10000,1,78.085359
10000,1,78.089915
10000,1,78.074388
10000,1,78.088984
10000,1,78.088364
10000,2,39.767227
10000,2,39.764590
10000,2,39.765737
10000,2,39.771731
10000,2,39.769751
10000,2,39.767029
10000,2,39.772902
10000,2,39.767306
10000,2,39.770418
10000,2,39.783116
10000,3,26.873257
10000,3,26.885732
10000,3,26.877553
10000,3,26.878984
10000,3,26.877551
10000,3,26.881914
10000,3,26.873630
10000,3,26.862940
10000,3,26.878891
10000,3,26.885944
10000,4,20.473929
10000,4,20.472329
10000,4,20.488038
10000,4,20.476412
10000,4,20.469913
10000,4,20.472627
10000,4,20.473407
10000,4,20.474688
10000,4,20.492073
10000,4,20.474294
10000,5,16.634322
10000,5,16.656368
10000,5,16.638131
10000,5,16.640737
10000,5,16.653658
10000,5,16.650640
10000,5,16.652740
10000,5,16.736190
10000,5,16.643262
10000,5,16.662765
10000,6,14.088079
10000,6,14.098596
10000,6,14.089524
10000,6,14.075958
10000,6,14.079185
10000,6,14.070100
10000,6,14.072214
10000,6,14.077532
10000,6,14.072729
10000,6,14.076771
10000,7,12.244910
10000,7,12.263985
10000,7,12.244200
10000,7,12.260247
10000,7,12.251184
10000,7,12.266509
10000,7,12.283915
10000,7,12.246036
10000,7,12.248665
10000,7,12.249464
10000,8,10.873508
10000,8,10.866950
10000,8,10.871854
10000,8,10.883610
10000,8,10.875497
10000,8,10.880061
10000,8,10.872211
10000,8,10.878523
10000,8,10.871605
10000,8,10.893665
10000,9,9.794079
10000,9,9.811033
10000,9,9.797657
10000,9,9.807424
10000,9,9.802352
10000,9,9.804427
10000,9,9.795259
10000,9,9.817276
10000,9,9.800364
10000,9,9.806206
10000,10,8.948517
10000,10,8.946087
10000,10,8.942679
10000,10,8.942914
10000,10,8.946899
10000,10,8.944287
10000,10,8.940657
10000,10,8.946181
10000,10,8.953524
10000,10,8.962955
10000,11,8.248203
10000,11,8.248603
10000,11,8.252867
10000,11,8.253055
10000,11,8.258830
10000,11,8.248219
10000,11,8.262212
10000,11,8.248002
10000,11,8.264977
10000,11,8.251131
10000,12,7.662498
10000,12,7.659017
10000,12,7.678315
10000,12,7.659300
10000,12,7.662182
10000,12,7.706071
10000,12,7.676915
10000,12,7.662103
10000,12,7.660304
10000,12,7.665258
10000,13,7.492225
10000,13,7.190059
10000,13,7.170639
10000,13,7.174440
10000,13,7.178158
10000,13,7.209487
10000,13,7.173199
10000,13,7.171753
10000,13,7.174344
10000,13,7.192528
10000,14,6.867896
10000,14,6.756640
10000,14,6.773150
10000,14,6.765480
10000,14,6.766168
10000,14,6.750446
10000,14,6.752533
10000,14,6.756958
10000,14,6.769656
10000,14,6.761088
10000,15,6.384826
10000,15,6.387418
