size,cores,time
10000,1,78.903899
10000,1,78.965565
10000,1,78.923073
10000,1,78.887362
10000,1,78.899992
10000,2,78.865937
10000,2,78.890593
10000,2,78.867369
10000,2,78.876335
10000,2,78.896006
10000,3,78.747691
10000,3,78.847148
10000,3,78.699271
10000,3,78.704163
10000,3,78.672485
10000,4,78.757735
10000,4,78.726016
10000,4,78.745293
10000,4,78.725795
10000,4,78.734822
10000,5,78.812501
10000,5,78.793571
10000,5,78.782219
10000,5,78.842972
10000,5,78.839556
10000,6,78.821892
10000,6,78.799366
10000,6,78.781229
10000,6,78.725880
10000,6,78.848324
10000,7,78.918788
10000,7,78.966802
10000,7,78.934731
10000,7,78.954868
10000,7,78.935030
10000,8,78.944972
10000,8,79.111487
10000,8,78.951041
10000,8,78.966362
10000,8,78.927830
10000,9,78.794289
10000,9,79.029882
10000,9,79.082144
10000,9,78.997385
10000,9,78.966680
10000,10,79.049375
10000,10,78.963431
10000,10,79.021146
10000,10,78.999273
10000,10,78.890220
10000,11,79.135418
10000,11,79.057263
10000,11,78.908540
10000,11,78.997200
10000,11,79.016650
10000,12,79.106675
10000,12,79.020371
10000,12,79.227470
10000,12,79.083754
10000,12,79.183498
10000,13,79.069607
10000,13,79.126183
10000,13,79.481674
10000,13,79.203007
10000,13,79.055835
10000,14,78.995142
10000,14,79.261859
10000,14,79.103135
10000,14,79.042360
10000,14,79.284161
10000,15,79.161540
10000,15,79.220769
10000,15,79.259702
10000,15,79.307435
10000,15,79.049942
10000,16,79.313403
10000,16,79.483011
10000,16,79.229429
10000,16,79.293795
10000,16,79.241485
10000,17,79.378591
10000,17,79.271099
10000,17,79.358014
10000,17,79.320083
10000,17,79.354942
10000,18,79.406050
10000,18,79.258706
10000,18,79.488382
10000,18
