size,cores,time
5000,57,21.356279
5000,57,21.047663
5000,57,21.613533
5000,57,21.648241
5000,57,21.521722
5000,58,20.717380
5000,58,20.906628
5000,58,20.455079
5000,58,21.051857
5000,58,20.965369
5000,59,20.621477
5000,59,20.754589
5000,59,21.019453
5000,59,20.826644
5000,59,20.523342
5000,60,21.013535
5000,60,21.055480
5000,60,20.413806
5000,60,20.831592
5000,60,20.985867
5000,61,20.655541
5000,61,20.463151
5000,61,20.914389
5000,61,20.805774
5000,61,20.720124
5000,62,20.904853
5000,62,20.521647
5000,62,20.780763
5000,62,20.841335
5000,62,20.504225
5000,635000,635000,635000,635000,635000,645000,645000,645000,645000,645000,655000,655000,655000,655000,655000,665000,665000,665000,665000,665000,675000,675000,675000,675000,675000,685000,685000,685000,685000,685000,695000,695000,695000,695000,695000,705000,705000,705000,705000,705000,715000,715000,715000,715000,715000,725000,725000,725000,725000,725000,735000,735000,735000,735000,735000,745000,745000,745000,745000,745000,755000,755000,755000,755000,755000,765000,765000,765000,765000,765000,775000,775000,775000,775000,775000,785000,785000,785000,785000,785000,795000,795000,795000,795000,795000,805000,805000,805000,805000,805000,815000,81
