size,OMP-threads,time
5000,1,20.370315
5000,1,20.381574
5000,1,20.378129
5000,1,20.371517
5000,1,20.369191
5000,1,20.386704
5000,1,20.376814
5000,1,20.372958
5000,1,20.378194
5000,1,20.367482
5000,2,10.769527
5000,2,10.771373
5000,2,10.773431
5000,2,10.772199
5000,2,10.772196
5000,2,10.787916
5000,2,10.770831
5000,2,10.788725
5000,2,10.773191
5000,2,10.772496
5000,3,7.566676
5000,3,7.562805
5000,3,7.564981
5000,3,7.561933
5000,3,7.564824
5000,3,7.584644
5000,3,7.574397
5000,3,7.562701
5000,3,7.562858
5000,3,7.562226
5000,4,5.945407
5000,4,5.954978
5000,4,5.945036
5000,4,5.944640
5000,4,5.960558
5000,4,5.946075
5000,4,5.956397
5000,4,5.958266
5000,4,5.945749
5000,4,5.949618
5000,5,4.975461
5000,5,4.977426
5000,5,4.981611
5000,5,4.974260
5000,5,4.978056
5000,5,4.981842
5000,5,4.977129
5000,5,4.974862
5000,5,4.976588
5000,5,4.978644
5000,6,4.332007
5000,6,4.329103
5000,6,4.327340
5000,6,4.337785
5000,6,4.341426
5000,6,4.328559
5000,6,4.330034
5000,6,4.326925
5000,6,4.331285
5000,6,4.340891
5000,7,3.873197
5000,7,3.879669
5000,7,3.872427
5000,7,3.868033
5000,7,3.871444
5000,7,3.872107
5000,7,3.894858
5000,7,3.871414
5000,7,3.873662
5000,7,3.881775
5000,8,3.553271
5000,8,3.553624
5000,8,3.550674
5000,8,3.558372
5000,8,3.550126
5000,8,3.546143
5000,8,3.564354
5000,8,3.544877
5000,8,3.552834
5000,8,3.561235
5000,9,3.252474
5000,9,3.252863
5000,9,3.251892
5000,9,3.262435
5000,9,3.251477
5000,9,3.253278
5000,9,3.253355
5000,9,3.249995
5000,9,3.253780
5000,9,3.249474
5000,10,3.043497
5000,10,3.034758
5000,10,3.060614
5000,10,3.034671
5000,10,3.032715
5000,10,3.033891
5000,10,3.034095
5000,10,3.034151
5000,10,3.033945
5000,10,3.033289
5000,11,2.855871
5000,11,2.855997
5000,11,2.856308
5000,11,2.855159
5000,11,2.855906
5000,11,2.857060
5000,11,2.857694
5000,11,2.856540
5000,11,2.855641
5000,11,2.854412
5000,12,2.745618
5000,12,2.709924
5000,12,2.721032
5000,12,2.709844
5000,12,2.720037
5000,12,2.719871
5000,12,2.713877
5000,12,2.710261
5000,12,2.709789
5000,12,2.720977
5000,13,2.586893
5000,13,2.585947
5000,13,2.596569
5000,13,2.588663
5000,13,2.586340
5000,13,2.595351
5000,13,2.596783
5000,13,2.586179
5000,13,2.620230
5000,13,2.595283
5000,14,2.488573
5000,14,2.477611
5000,14,2.478089
5000,14,2.479311
5000,14,2.513104
5000,14,2.487572
5000,14,2.477845
5000,14,2.477806
5000,14,2.478710
5000,14,2.478006
5000,15,2.449916
5000,15,2.385708
5000,15,2.395739
5000,15,2.385746
5000,15,2.385392
5000,15,2.385239
5000,15,2.419724
5000,15,2.384886
5000,15,2.394381
5000,15,2.394486
5000,16,2.304995
5000,16,2.304230
5000,16,2.303734
5000,16,2.305433
5000,16,2.305371
5000,16,2.306014
5000,16,2.305614
5000,16,2.315191
5000,16,2.357113
5000,16,2.305124
5000,17,2.234007
5000,17,2.233703
5000,17,2.233671
5000,17,2.267890
5000,17,2.234225
5000,17,2.233638
5000,17,2.232981
5000,17,2.234080
5000,17,2.234446
5000,17,2.234023
5000,18,2.172588
5000,18,2.180747
5000,18,2.170990
5000,18,2.172251
5000,18,2.170240
5000,18,2.215140
5000,18,2.171068
5000,18,2.170861
5000,18,2.170100
5000,18,2.170450
5000,19,2.114532
5000,19,2.113622
5000,19,2.114418
5000,19,2.123495
5000,19,2.129799
5000,19,2.123911
5000,19,2.113793
5000,19,2.147053
5000,19,2.112951
5000,19,2.112270
5000,20,2.073635
5000,20,2.073432
5000,20,2.062415
5000,20,2.063489
5000,20,2.062171
5000,20,2.071268
5000,20,2.062499
5000,20,2.072466
5000,20,2.072596
5000,20,2.098928
5000,21,2.017351
5000,21,2.026195
5000,21,2.015702
5000,21,2.016502
5000,21,2.017124
5000,21,2.026345
5000,21,2.050458
5000,21,2.016921
5000,21,2.016334
5000,21,2.017634
5000,22,1.975395
5000,22,1.984608
5000,22,1.974762
5000,22,2.008856
5000,22,1.974208
5000,22,1.988403
5000,22,1.974982
5000,22,1.974459
5000,22,1.974714
5000,22,1.974621
5000,23,1.946850
5000,23,1.937255
5000,23,1.936646
5000,23,1.936425
5000,23,1.936016
5000,23,1.937487
5000,23,1.935869
5000,23,1.936506
5000,23,1.936606
5000,23,1.945846
5000,24,1.912024
5000,24,1.900849
5000,24,1.901789
5000,24,1.932570
5000,24,1.900565
5000,24,1.900501
5000,24,1.900172
5000,24,1.900145
5000,24,1.910687
5000,24,1.901496
5000,25,1.868666
5000,25,1.869070
5000,25,1.869269
5000,25,1.879155
5000,25,1.868571
5000,25,1.869317
5000,25,1.868875
5000,25,1.869391
5000,25,1.868577
5000,25,1.869352
5000,26,1.884000
5000,26,1.847720
5000,26,1.849561
5000,26,1.839409
5000,26,1.840431
5000,26,1.849079
5000,26,1.841148
5000,26,1.838078
5000,26,1.838082
5000,26,1.870711
5000,27,1.811195
5000,27,1.809796
5000,27,1.811903
5000,27,1.810611
5000,27,1.810947
5000,27,1.821801
5000,27,1.810775
5000,27,1.811897
5000,27,1.812160
5000,27,1.811946
5000,28,1.785232
5000,28,1.785840
5000,28,1.795148
5000,28,1.786101
5000,28,1.786042
5000,28,1.786934
5000,28,1.786185
5000,28,1.784552
5000,28,1.795877
5000,28,1.786658
5000,29,1.762349
5000,29,1.761607
5000,29,1.772027
5000,29,1.762299
5000,29,1.760611
5000,29,1.773597
5000,29,1.762558
5000,29,1.762959
5000,29,1.761358
5000,29,1.757601
5000,30,1.740802
5000,30,1.740613
5000,30,1.741507
5000,30,1.739111
5000,30,1.740515
5000,30,1.740201
5000,30,1.740352
5000,30,1.740355
5000,30,1.740891
5000,30,1.740228
5000,31,1.719931
5000,31,1.720248
5000,31,1.719683
5000,31,1.719913
5000,31,1.720338
