size,cores,time
5000,1,20.183899
5000,1,20.187236
5000,1,20.188452
5000,1,20.166496
5000,1,20.192920
5000,2,9.658783
5000,2,9.652750
5000,2,9.655466
5000,2,9.651417
5000,2,9.652027
5000,3,6.475240
5000,3,6.474899
5000,3,6.469383
5000,3,6.468724
5000,3,6.473730
5000,4,4.893765
5000,4,4.899764
5000,4,4.895468
5000,4,4.890642
5000,4,4.897402
5000,5,3.959090
5000,5,3.953961
5000,5,3.962053
5000,5,3.948759
5000,5,3.957802
5000,6,3.354570
5000,6,3.365488
5000,6,3.361097
5000,6,3.357501
5000,6,3.356025
5000,7,2.879055
5000,7,2.879588
5000,7,2.879581
5000,7,2.886165
5000,7,2.881114
5000,8,2.668297
5000,8,2.680123
5000,8,2.679623
5000,8,2.679222
5000,8,2.678179
5000,9,2.425963
5000,9,2.424721
5000,9,2.426112
5000,9,2.427732
5000,9,2.416788
5000,10,2.248041
5000,10,2.240663
5000,10,2.241014
5000,10,2.237294
5000,10,2.242922
5000,11,2.092035
5000,11,2.097554
5000,11,2.100880
5000,11,2.093194
5000,11,2.096491
5000,12,1.986474
5000,12,1.984145
5000,12,1.979744
5000,12,1.981114
5000,12,1.982077
5000,13,1.878269
5000,13,1.879123
5000,13,1.881131
5000,13,1.878385
5000,13,1.873228
5000,14,1.782356
5000,14,1.776152
5000,14,1.793908
5000,14,1.794270
5000,14,1.799251
5000,15,1.733840
5000,15,1.738751
5000,15,1.743624
5000,15,1.743698
5000,15,1.743995
5000,16,1.494375
5000,16,1.480094
5000,16,1.492574
5000,16,1.497666
5000,16,1.488848
5000,17,1.402768
5000,17,1.423893
5000,17,1.423421
5000,17,1.408570
5000,17,1.430816
5000,18,1.338948
5000,18,1.339625
5000,18,1.358938
5000,18,1.341204
5000,18,1.360057
5000,19,1.307422
5000,19,1.302751
5000,19,1.301809
5000,19,1.285018
5000,19,1.309227
5000,20,1.239623
5000,20,1.235160
5000,20,1.271372
5000,20,1.234999
5000,20,1.236810
5000,21,1.211637
5000,21,1.211478
5000,21,1.208276
