n_cores,size,gflops
27,10000,1586.709440
27,10000,1579.741021
27,10000,1582.914647
27,10000,1592.595582
27,10000,1586.996161
27,10000,1579.530700
27,10000,1584.079626
28,10000,1559.116937
28,10000,1557.953393
28,10000,1574.616184
28,10000,1565.238812
28,10000,1573.159199
28,10000,1567.837888
28,10000,1563.145035
28,10000,1560.298050
28,10000,1567.711288
28,10000,1568.040705
29,10000,1547.004096
29,10000,1538.038703
29,10000,1543.242488
29,10000,1540.996497
29,10000,1535.319548
29,10000,1538.286345
29,10000,1533.060266
29,10000,1541.995889
29,10000,1528.227898
29,10000,1522.313678
30,10000,1523.654552
30,10000,1527.773300
30,10000,1505.611501
30,10000,1509.004957
30,10000,1523.981291
30,10000,1499.733776
30,10000,1534.752409
30,10000,1512.689082
30,10000,1495.380028
30,10000,1496.272542
31,10000,1541.886246
31,10000,1535.039863
31,10000,1538.724274
31,10000,1535.402381
31,10000,1539.123935
31,10000,1493.555282
31,10000,1519.078561
31,10000,1525.812210
31,10000,1521.130572
31,10000,1500.522002
32,10000,2143.824513
32,10000,2054.864842
32,10000,2026.396643
32,10000,2080.361210
32,10000,2125.191334
32,10000,2014.330785
32,10000,2105.650509
32,10000,2053.224676
32,10000,2020.152965
32,10000,2137.399981
33,10000,2043.439089
33,10000,2043.488077
33,10000,1891.768162
33,10000,2044.587928
33,10000,1950.400026
33,10000,1939.082671
33,10000,2045.257062
33,10000,2028.619578
33,10000,2038.612649
33,10000,1979.522640
34,10000,1911.226194
34,10000,1978.269366
34,10000,1902.571138
34,10000,2050.529612
34,10000,1836.737829
34,10000,1869.918782
34,10000,1870.767851
34,10000,1888.227021
34,10000,1865.064541
34,10000,2051.499628
35,10000,1976.960903
35,10000,1915.275677
35,10000,2046.212081
35,10000,1909.035825
35,10000,2045.845784
35,10000,1863.393016
35,10000,2046.801368
35,10000,1877.550129
35,10000,1861.519531
35,10000,1924.641225
36,10000,1903.764640
36,10000,1937.714153
36,10000,2041.833943
36,10000,1902.835738
36,10000,1931.899455
36,10000,2060.265820
36,10000,1842.896939
36,10000,2055.172710
36,10000,1893.868128
36,10000,1914.445934
37,10000,1988.518003
37,10000,1951.200042
37,10000,1869.425770
37,10000,1861.344007
37,10000,1878.828837
37,10000,1988.335990
37,10000,1972.659716
37,10000,1994.895599
37,10000,2052.340225
37,10000,1905.491441
38,10000,1907.436268
38,10000,1903.333294
38,10000,1908.623989
38,10000,1841.293449
38,10000,1835.928388
38,10000,1848.894786
38,10000,1856.737913
38,10000,1894.548048
38,10000,1887.015076
38,10000,1902.373558
39,10000,1890.992034
39,10000,1879.148965
39,10000,1896.856385
39,10000,1897.131348
39,10000,1968.878262
39,10000,1903.735862
39,10000,1963.810816
39,10000,1908.216986
39,10000,1967.261584
39,10000,1960.794808
40,10000,1900.281847
40,10000,1882.675347
40,10000,1880.449944
40,10000,1843.973803
40,10000,1880.022223
40,10000,1845.583318
40,10000,1847.818379
40,10000,1850.238334
40,10000,1848.269734
40,10000,1845.730631
41,10000,1883.203449
41,10000,1859.662147
41,10000,1880.585398
41,10000,1848.272390
41,10000,1848.308070
41,10000,1850.637809
41,10000,1834.320567
41,10000,1888.968074
41,10000,1849.742257
41,10000,1844.490327
42,10000,1840.060739
42,10000,1830.603064
42,10000,1825.491823
42,10000,1845.174534
42,10000,1814.428992
42,10000,1829.525157
42,10000,1830.420663
42,10000,1814.010560
42,10000,1810.095043
42,10000,1809.605296
43,10000,1859.100104
43,10000,1843.633968
43,10000,1845.037415
43,10000,1849.550687
43,10000,1840.005444
43,10000,1851.517788
43,10000,1850.608202
43,10000,1846.331326
43,10000,1848.739742
43,10000,1849.341990
44,10000,1846.805754
44,10000,1843.037202
44,10000,1851.134609
44,10000,1844.454207
44,10000,1850.124415
44,10000,1851.011849
44,10000,1845.651684
44,10000,1846.508191
44,10000,1852.579655
44,10000,1849.835263
45,10000,1986.804590
45,10000,1830.482201
45,10000,1848.907557
45,10000,1833.045998
45,10000,1837.950316
45,10000,1822.023278
45,10000,1761.178042
45,10000,1824.880239
45,10000,1780.315932
45,10000,1823.020311
46,10000,1811.708597
46,10000,1821.011007
46,10000,1837.390630
46,10000,1848.809728
46,10000,1840.086101
46,10000,1855.365583
46,10000,1838.309935
46,10000,1834.323740
46,10000,1852.887700
46,10000,1845.374514
47,10000,1818.420117
47,10000,1883.894412
47,10000,1863.339780
47,10000,1808.755180
47,10000,1871.469316
47,10000,1872.500732
47,10000,1856.586040
47,10000,1845.099796
47,10000,1859.119092
47,10000,1881.571224
48,10000,1871.420366
48,10000,1844.774841
48,10000,1811.268517
48,10000,1824.766523
48,10000,1829.628026
48,10000,1860.351282
48,10000,1885.013901
48,10000,1889.174484
48,10000,1843.842557
48,10000,1865.248514
49,10000,1820.957010
49,10000,1826.915080
49,10000,1798.997278
49,10000,1807.470077
49,10000,1753.054342
49,10000,1792.894926
49,10000,1786.366234
49,10000,1842.877036
49,10000,1790.175674
49,10000,1805.087088
50,10000,1778.012934
50,10000,1732.241884
50,10000,1785.788951
50,10000,1790.800591
50,10000,1807.689160
50,10000,1797.937071
50,10000,1831.172048
50,10000,1818.003059
50,10000,1801.608212
50,10000,1846.371125
51,10000,1831.473494
