n_cores,size,gflops
28,10000,585.344996
28,10000,588.003234
29,10000,579.680014
29,10000,580.054532
29,10000,599.334814
29,10000,575.964874
29,10000,575.516805
29,10000,579.126335
29,10000,579.903709
29,10000,580.906068
29,10000,577.259007
29,10000,580.218712
30,10000,602.004978
30,10000,608.848338
30,10000,608.415687
30,10000,612.497399
30,10000,714.583057
30,10000,611.819252
30,10000,611.913892
30,10000,609.387054
30,10000,605.950172
30,10000,609.829836
31,10000,581.647378
31,10000,580.324284
31,10000,581.902370
31,10000,575.726515
31,10000,580.488425
31,10000,574.490473
31,10000,578.542464
31,10000,577.388805
31,10000,577.047011
31,10000,576.258891
32,10000,590.036012
32,10000,594.161328
32,10000,592.736497
32,10000,590.482078
32,10000,595.554230
32,10000,592.678185
32,10000,593.326296
32,10000,595.585681
32,10000,595.448421
32,10000,597.522280
33,10000,586.196080
33,10000,579.581846
33,10000,586.462311
33,10000,584.653109
33,10000,586.527689
33,10000,584.878563
33,10000,585.252405
33,10000,582.870020
33,10000,691.903391
33,10000,584.718516
34,10000,627.830944
34,10000,619.743891
34,10000,620.226185
34,10000,619.113968
34,10000,627.602645
34,10000,622.650168
34,10000,627.176857
34,10000,617.367342
34,10000,624.509102
34,10000,569.264884
35,10000,572.103463
35,10000,577.528917
35,10000,579.223393
35,10000,573.424710
35,10000,577.578473
35,10000,575.894086
35,10000,580.686044
35,10000,577.547048
35,10000,564.797579
35,10000,578.864934
36,10000,581.406345
36,10000,576.123737
36,10000,578.733241
36,10000,583.082197
36,10000,584.037314
36,10000,575.253481
36,10000,578.031445
36,10000,581.897994
36,10000,583.364317
36,10000,575.742235
37,10000,574.251463
37,10000,578.776592
37,10000,577.838895
37,10000,575.371427
37,10000,580.362796
37,10000,576.965655
37,10000,574.493329
37,10000,573.085727
37,10000,572.672225
37,10000,578.870595
38,10000,594.389546
38,10000,592.264724
38,10000,563.319717
38,10000,573.008032
38,10000,577.804957
38,10000,579.077456
38,10000,587.480172
38,10000,578.414428
38,10000,592.982859
38,10000,599.598653
39,10000,577.571845
39,10000,576.285850
39,10000,578.197627
39,10000,576.655550
39,10000,576.969844
39,10000,576.603335
39,10000,571.416780
39,10000,574.887720
39,10000,577.044840
39,10000,575.936329
40,10000,602.473954
40,10000,601.561638
40,10000,600.870749
40,10000,607.978061
40,10000,605.502881
40,10000,590.502083
40,10000,558.649470
40,10000,559.962286
40,10000,593.251892
40,10000,610.901630
41,10000,570.367651
41,10000,580.685184
41,10000,578.267026
41,10000,578.236152
41,10000,579.979553
41,10000,577.130362
41,10000,584.946993
41,10000,586.054239
41,10000,581.521791
41,10000,579.733861
42,10000,597.327821
42,10000,592.914173
42,10000,604.860296
42,10000,596.157874
42,10000,603.728480
42,10000,695.356098
42,10000,599.307810
42,10000,695.073431
42,10000,607.765010
42,10000,598.513253
43,10000,583.191077
43,10000,581.755965
43,10000,578.702817
43,10000,583.900213
43,10000,576.831973
43,10000,576.619307
43,10000,560.265228
43,10000,583.741759
43,10000,581.946123
43,10000,581.599381
44,10000,598.350917
44,10000,601.971001
44,10000,592.767273
44,10000,720.322156
44,10000,580.880073
44,10000,608.535192
44,10000,565.107837
44,10000,605.465150
44,10000,599.437673
44,10000,584.189271
45,10000,574.632807
45,10000,576.644397
45,10000,575.463995
45,10000,578.832052
45,10000,582.212855
45,10000,574.320923
45,10000,574.921443
45,10000,581.743480
45,10000,578.778252
45,10000,575.830101
46,10000,580.977245
46,10000,596.716509
46,10000,605.279765
46,10000,607.587489
46,10000,595.141885
46,10000,576.690350
46,10000,594.210692
46,10000,602.080761
46,10000,593.542063
46,10000,587.278046
47,10000,586.756346
47,10000,576.053629
47,10000,690.526677
47,10000,580.695837
47,10000,581.905487
47,10000,581.894806
47,10000,589.141266
47,10000,686.273640
47,10000,581.867450
47,10000,580.808732
48,10000,586.998063
48,10000,558.881736
48,10000,591.957681
48,10000,583.832314
48,10000,600.086752
48,10000,579.605695
48,10000,593.009485
48,10000,585.469406
48,10000,583.680238
48,10000,580.356153
49,10000,572.206859
49,10000,585.355248
49,10000,583.242151
49,10000,579.390689
49,10000,579.878274
49,10000,582.630593
49,10000,583.212131
49,10000,583.739144
49,10000,583.526539
49,10000,583.448528
50,10000,548.174878
50,10000,570.557173
50,10000,575.601816
50,10000,585.831241
50,10000,588.848655
50,10000,579.571088
50,10000,573.666323
50,10000,580.968199
50,10000,558.509702
50,10000,595.584028
51,10000,559.563888
51,10000,565.587146
51,10000,563.436248
51,10000,567.395956
51,10000,558.617156
51,10000,545.731105
51,10000,563.236405
51,10000,561.243269
51,10000,564.059533
51,10000,559.572965
52,10000,578.781332
52,10000,580.332365
52,10000,578.261598
52,10000,575.126715
52,10000,573.333139
52,10000,576.326307
52,10000,576.823557
52,10000,581.697526
52,10000,583.476078
52,10000,574.400446
53,10000,581.172069
53,10000,570.300085
53,10000,562.616458
53,10000,561.176224
53,10000,569.940669
53,10000,570.871068
53,10000,568.354218
53,10000,570.437064
53,10000,568.843484
53,10000,569.638361
54,10000,571.302688
54,10000,562.908351
54,10000,552.547788
54,10000,555.762649
54,10000,562.776933
54,10000,569.773958
54,10000,560.048938
54,10000,569.377084
54,10000,537.187110
54,10000,563.895444
55,10000,566.519561
55,10000,568.244004
55,10000,563.108462
55,10000,567.538858
55,10000,571.707118
55,10000,576.695772
55,10000,575.083496
55,10000,575.023163
55,10000,571.674446
55,10000,580.293124
56,10000,581.745700
56,10000,579.753230
56,10000,576.737435
56,10000,579.618331
56,10000,581.237042
56,10000,578.220626
56,10000,580.219597
56,10000,582.204447
56,10000,581.869942
56,10000,577.925401
57,10000,526.094281
57,10000,556.016489
57,10000,567.255501
57,10000,567.591485
57,10000,568.609165
57,10000,564.520510
57,10000,573.060355
57,10000,572.889418
57,10000,570.365071
57,10000,575.742281
58,10000,582.850669
58,10000,565.519486
58,10000,578.820024
58,10000,568.081622
58,10000,569.860765
58,10000,573.757769
58,10000,570.617438
58,10000,580.368685
58,10000,580.740124
58,10000,566.230546
59,10000,579.776680
59,10000,576.762774
59,10000,582.846779
59,10000,582.926259
59,10000,703.482407
59,10000,578.365806
59,10000,587.238560
59,10000,557.536742
59,10000,555.350286
59,10000,570.741832
60,10000,597.287425
60,10000,601.446571
60,10000,593.831203
60,10000,599.008377
60,10000,595.754343
60,10000,599.610029
60,10000,595.278423
60,10000,598.978166
60,10000,594.504978
60,10000,598.517609
61,10000,580.573360
61,10000,589.395534
61,10000,584.151805
61,10000,579.235311
61,10000,579.392339
61,10000,578.882858
61,10000,586.993040
61,10000,586.043723
61,10000,569.383969
61,10000,696.457403
62,10000,575.829509
62,10000,567.998712
62,10000,571.335888
62,10000,578.344586
62,10000,579.405599
62,10000,569.366222
62,10000,570.681939
62,10000,566.927262
62,10000,569.245262
62,10000,573.345301
63,10000,574.594353
63,10000,703.154929
63,10000,583.201357
63,10000,582.660505
63,10000,564.421931
63,10000,582.930285
63,10000,581.451021
63,10000,586.053194
63,10000,577.601312
63,10000,589.565699
64,10000,593.187855
64,10000,587.662114
64,10000,599.425910
64,10000,597.913006
64,10000,593.296201
64,10000,599.740451
64,10000,594.889358
64,10000,590.958574
64,10000,598.208449
64,10000,597.926886
