n_cores,size,gflops
28,10000,1191.262568
28,10000,1248.815513
28,10000,1182.760893
28,10000,1158.821046
28,10000,1162.538379
28,10000,1184.192011
29,10000,1252.656516
29,10000,1150.452998
29,10000,1201.148193
29,10000,1154.822612
29,10000,1174.423066
29,10000,1178.266019
29,10000,1238.221468
29,10000,1166.440095
29,10000,1212.403431
29,10000,1172.963640
30,10000,1282.698287
30,10000,1276.878005
30,10000,1284.485296
30,10000,1276.955803
30,10000,1287.151322
30,10000,1303.874676
30,10000,1312.943118
30,10000,1325.430405
30,10000,1331.219499
30,10000,1317.870893
31,10000,1284.228627
31,10000,1280.961748
31,10000,1360.108619
31,10000,1275.142577
31,10000,1248.753483
31,10000,1282.162029
31,10000,1332.915076
31,10000,1248.909623
31,10000,1283.507252
31,10000,1299.371257
32,10000,1281.558294
32,10000,1296.607714
32,10000,1278.049843
32,10000,1314.282650
32,10000,1337.276561
32,10000,1302.793667
32,10000,1321.188172
32,10000,1278.464995
32,10000,1297.649716
32,10000,1337.324744
33,10000,1317.109017
33,10000,1296.358846
33,10000,1321.240420
33,10000,1269.960144
33,10000,1281.279279
33,10000,1254.497453
33,10000,1369.951766
33,10000,1290.281773
33,10000,1282.005843
33,10000,1352.453315
34,10000,1178.366134
34,10000,1158.061089
34,10000,1193.273029
34,10000,1189.263967
34,10000,1108.986466
34,10000,1224.250835
34,10000,1164.906891
34,10000,1123.566551
34,10000,1192.567909
34,10000,1193.056906
35,10000,1400.812204
35,10000,1419.206722
35,10000,1425.421607
35,10000,1372.225712
35,10000,1383.493931
35,10000,1382.633459
35,10000,1392.087524
35,10000,1395.947047
35,10000,1404.387276
35,10000,1398.337583
36,10000,1344.825101
36,10000,1331.845196
36,10000,1360.518895
36,10000,1370.233510
36,10000,1376.475994
36,10000,1372.349445
36,10000,1368.962447
36,10000,1344.135691
36,10000,1376.919908
36,10000,1353.176408
37,10000,1425.016726
37,10000,1407.074743
37,10000,1408.274099
37,10000,1420.352052
37,10000,1414.443957
37,10000,1423.564897
37,10000,1420.431409
37,10000,1432.593833
37,10000,1423.819232
37,10000,1389.377984
38,10000,918.448867
38,10000,928.489538
38,10000,912.182170
38,10000,898.020067
38,10000,928.843336
38,10000,926.246005
38,10000,910.115137
38,10000,916.421125
38,10000,909.251721
38,10000,906.160377
39,10000,1108.378650
39,10000,1145.846431
39,10000,1136.517552
39,10000,1146.731285
39,10000,1132.816695
39,10000,1139.184383
39,10000,1138.717702
39,10000,1148.232613
39,10000,1144.957199
39,10000,1151.769563
40,10000,1425.691418
40,10000,1449.443134
40,10000,1421.315316
40,10000,1451.343522
40,10000,1400.552074
40,10000,1433.096370
40,10000,1427.780793
40,10000,1402.175006
40,10000,1413.924274
40,10000,1432.592512
41,10000,1422.587672
41,10000,1442.386363
41,10000,1425.609600
41,10000,1434.036656
41,10000,1416.781707
41,10000,1423.234883
41,10000,1437.749031
41,10000,1391.746089
41,10000,1443.009205
41,10000,1394.039581
42,10000,1455.192503
42,10000,1435.733867
42,10000,1469.445304
42,10000,1449.251538
42,10000,1465.482463
42,10000,1475.468872
42,10000,1485.768330
42,10000,1473.114831
42,10000,1444.007966
42,10000,1497.910604
43,10000,1456.329486
43,10000,1515.702493
43,10000,1462.859574
43,10000,1433.547826
43,10000,1482.264318
43,10000,1485.249531
43,10000,1488.529266
43,10000,1485.624415
43,10000,1479.165157
43,10000,1486.517301
44,10000,1333.545018
44,10000,1317.343235
44,10000,1329.423460
44,10000,1309.965504
44,10000,1339.564105
44,10000,1370.528733
44,10000,1331.190286
44,10000,1348.382366
44,10000,1361.034018
44,10000,1363.407634
45,10000,1389.511562
45,10000,1421.437728
45,10000,1405.375818
45,10000,1418.918659
45,10000,1382.061004
45,10000,1388.413078
45,10000,1430.463426
45,10000,1406.317213
45,10000,1394.723925
45,10000,1460.622212
46,10000,1413.121992
46,10000,1441.037260
46,10000,1434.313494
46,10000,1386.912719
46,10000,1384.880264
46,10000,1410.391031
46,10000,1370.939088
46,10000,1424.000032
46,10000,1428.872830
46,10000,1438.556075
47,10000,944.387322
47,10000,914.247990
47,10000,921.561027
47,10000,902.794799
47,10000,920.491407
47,10000,905.930739
47,10000,907.942961
47,10000,903.838908
47,10000,896.580172
47,10000,928.643830
48,10000,1482.455077
48,10000,1476.505282
48,10000,1446.560664
48,10000,1488.810756
48,10000,1454.759075
48,10000,1463.632083
48,10000,1476.763638
48,10000,1517.987517
48,10000,1478.841059
48,10000,1461.509644
49,10000,1449.699354
49,10000,1441.398332
49,10000,1464.281522
49,10000,1440.393731
49,10000,1436.963812
49,10000,1407.728099
49,10000,1433.636824
49,10000,1404.340873
49,10000,1464.228120
49,10000,1431.890977
50,10000,1463.226955
50,10000,1457.249807
50,10000,1491.891999
50,10000,1490.009920
50,10000,1468.420224
50,10000,1461.959980
50,10000,1466.798197
50,10000,1476.825834
50,10000,1491.897671
50,10000,1457.258927
51,10000,1387.805701
51,10000,1385.534551
51,10000,1377.263880
51,10000,1326.894767
51,10000,1371.554195
51,10000,1359.854660
51,10000,1395.475291
51,10000,1361.507788
51,10000,1357.096352
51,10000,1357.682111
52,10000,1329.199234
52,10000,1298.491683
52,10000,1305.049274
52,10000,1326.502880
52,10000,1316.034583
52,10000,1322.589451
52,10000,1315.259788
52,10000,1310.921732
52,10000,1299.962448
52,10000,1317.163906
53,10000,1321.450576
53,10000,1284.697587
53,10000,1295.161648
53,10000,1325.136188
53,10000,1292.671299
53,10000,1306.821400
53,10000,1308.067943
53,10000,1314.415837
53,10000,1331.185658
53,10000,1314.658291
54,10000,1457.438441
54,10000,1459.053249
54,10000,1431.582445
54,10000,1456.822017
54,10000,1426.279015
54,10000,1446.426137
54,10000,1460.034108
54,10000,1470.430814
54,10000,1453.564518
54,10000,1457.322298
55,10000,1465.508313
55,10000,1464.355629
55,10000,1450.074111
55,10000,1465.969381
55,10000,1446.133831
55,10000,1437.488663
55,10000,1461.670305
55,10000,1451.177192
55,10000,1468.548073
55,10000,1454.584596
56,10000,1521.360210
56,10000,1493.101072
56,10000,1528.728014
56,10000,1524.954507
56,10000,1513.087509
56,10000,1509.752905
56,10000,1532.393995
56,10000,1514.243474
56,10000,1532.601270
56,10000,1509.500223
57,10000,1473.491884
57,10000,1484.522718
57,10000,1480.449164
57,10000,1481.534935
57,10000,1465.599494
57,10000,1479.015157
57,10000,1490.099280
57,10000,1488.878041
57,10000,1453.510347
57,10000,1462.331181
58,10000,1171.670445
58,10000,1172.149543
58,10000,1198.760173
58,10000,1188.362745
58,10000,1203.266999
58,10000,1181.823927
58,10000,1196.377249
58,10000,1211.832051
58,10000,1205.354415
58,10000,1198.662819
59,10000,931.276025
59,10000,913.631017
59,10000,927.619869
